the                = 119               
to                 = 63                
and                = 56                
in                 = 54                
a                  = 47                
of                 = 36                
is                 = 35                
are                = 34                
have               = 28                
it                 = 28                
we                 = 26                
for                = 25                
that               = 25                
be                 = 23                
they               = 23                
on                 = 21                
this               = 20                
will               = 19                
with               = 18                
not                = 17                
our                = 16                
great              = 15                
i                  = 15                
all                = 14                
now                = 14                
new                = 14                
so                 = 13                
no                 = 13                
my                 = 12                
you                = 12                
down               = 12                
people             = 11                
just               = 11                
president          = 10                
as                 = 10                
up                 = 10                
or                 = 10                
if                 = 10                
fake               = 10                
news               = 10                
very               = 10                
by                 = 10                
open               = 10                
many               = 9                 
has                = 9                 
want               = 9                 
who                = 9                 
biden              = 9                 
nothing            = 9                 
at                 = 9                 
would              = 9                 
radical            = 8                 
left               = 8                 
them               = 8                 
but                = 8                 
get                = 8                 
was                = 8                 
his                = 7                 
about              = 7                 
what               = 7                 
their              = 7                 
way                = 7                 
federal            = 7                 
big                = 7                 
done               = 7                 
s                  = 7                 
corrupt            = 7                 
schools            = 7                 
political          = 7                 
china              = 7                 
rate               = 7                 
cases              = 6                 
media              = 6                 
back               = 6                 
@foxnews           = 6                 
got                = 6                 
into               = 6                 
history            = 6                 
numbers            = 6                 
your               = 6                 
even               = 6                 
an                 = 6                 
trump              = 6                 
also               = 6                 
out                = 6                 
democrats          = 6                 
should             = 6                 
joe                = 6                 
u                  = 6                 
election           = 6                 
000                = 6                 
world              = 6                 
like               = 5                 
never              = 5                 
cities             = 5                 
must               = 5                 
other              = 5                 
obama              = 5                 
more               = 5                 
which              = 5                 
campaign           = 5                 
crime              = 5                 
he                 = 5                 
don’t              = 5                 
government         = 5                 
happens            = 5                 
virus              = 5                 
lowest             = 5                 
deaths             = 5                 
why                = 4                 
economy            = 4                 
coming             = 4                 
fast               = 4                 
congratulations    = 4                 
important          = 4                 
work               = 4                 
including          = 4                 
against            = 4                 
disaster           = 4                 
over               = 4                 
place              = 4                 
others             = 4                 
run                = 4                 
republican         = 4                 
@foxandfriends     = 4                 
go                 = 4                 
washington         = 4                 
any                = 4                 
thank              = 4                 
job                = 4                 
bad                = 4                 
much               = 4                 
border             = 4                 
wall               = 4                 
come               = 4                 
me                 = 4                 
do                 = 4                 
polls              = 4                 
2016               = 4                 
everyone           = 4                 
were               = 4                 
another            = 4                 
sick               = 4                 
country            = 4                 
from               = 4                 
politically        = 4                 
york               = 4                 
time               = 4                 
mortality          = 4                 
hydroxychloroquine = 4                 
city               = 4                 
order              = 3                 
jobs               = 3                 
doing              = 3                 
hard               = 3                 
watch              = 3                 
police             = 3                 
treated            = 3                 
democrat           = 3                 
these              = 3                 
stand              = 3                 
play               = 3                 
golf               = 3                 
built              = 3                 
miles              = 3                 
southern           = 3                 
year               = 3                 
anyone             = 3                 
criminals          = 3                 
only               = 3                 
make               = 3                 
look               = 3                 
caught             = 3                 
close              = 3                 
witch              = 3                 
hunt               = 3                 
side               = 3                 
spied              = 3                 
russia             = 3                 
night              = 3                 
state              = 3                 
soon               = 3                 
#maga2020          = 3                 
funding            = 3                 
act                = 3                 
because            = 3                 
compared           = 3                 
fall               = 3                 
than               = 3                 
help               = 3                 
biggest            = 3                 
everything         = 3                 
court              = 3                 
show               = 3                 
high               = 3                 
dems               = 3                 
cut                = 3                 
death              = 3                 
speech             = 3                 
health             = 3                 
patients           = 3                 
significantly      = 3                 
reasons            = 3                 
chicago            = 3                 
getting            = 3                 
